Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
0,0.75,0.5,2,1,9,submit_quiz (current),29.020658997114655
0,0.25,0.5,1,1,5,view_assignment (current),21.405732979416427
0,0.25,0.5,1,1,12,view_content (future),27.755114253566436
0,0.25,0.5,1,1,14,post_forum (future),60.22103066201738
0,0.25,0.5,1,1,11,post_forum (current),7.969098710126293
0,0.25,0.5,1,1,13,attempt_quiz (future),44.644182528598364
0,0.25,0.5,1,1,7,submit_assignment (current),43.28202402661543
0,0.25,0.5,1,1,9,submit_quiz (current),39.53052339139021
0,0.25,0.5,1,1,10,review_quiz (current),61.65836883405471
0,0.25,0.5,1,1,1,view_content (past),74.38001647132778
0,0.25,0.5,1,1,2,attempt_quiz (past),14.43100917015775
0,0.25,0.5,1,1,4,post_forum (past),24.80822555365902
0,0.25,0.5,1,1,6,view_content (current),111.51813424478684
0,0.25,0.5,1,1,3,review_quiz (past),52.014823043481094
0,0.25,0.5,1,1,8,attempt_quiz (current),25.9410135140934
0,0.5,1.0,1,1,12,view_content (future),0.004758750000000003
0,0.5,1.0,1,1,3,review_quiz (past),0.15775511148393792
0,0.5,1.0,1,1,1,view_content (past),2.300426125884812
0,0.5,1.0,1,1,7,submit_assignment (current),29.329617590717056
0,0.5,1.0,1,1,6,view_content (current),0.4830147358952319
0,0.5,1.0,1,1,4,post_forum (past),0.5580147358952319
0,0.5,1.0,1,1,13,attempt_quiz (future),8.502028354404677
0,0.5,1.0,1,1,0,view_assignment (past),0.4830147358952319
0,0.75,1.0,1,1,14,post_forum (future),0.0
0,0.75,1.0,1,1,1,view_content (past),0.079708125
0,0.75,1.0,1,1,7,submit_assignment (current),2.2669563795191423
0,0.75,1.0,1,1,11,post_forum (current),1.289753019529098
0,0.75,1.0,1,1,5,view_assignment (current),0.1187633963671232
0,0.75,1.0,1,1,3,review_quiz (past),2.1487936550329576
0,0.75,1.0,1,1,4,post_forum (past),0.10792171295235035
0,0.75,1.0,1,1,9,submit_quiz (current),38.70981407114735
0,0.75,1.0,1,1,6,view_content (current),0.3635058944417266
0,0.75,1.0,1,1,12,view_content (future),3.057094077848638
0,0.75,1.0,1,1,10,review_quiz (current),2.724402152492401
0,0.75,1.0,1,1,2,attempt_quiz (past),15.594116357826332
2,1.0,0.5,0,1,9,submit_quiz (current),8.866751292474332
2,1.0,0.5,0,1,12,view_content (future),0.6192994622118778
2,1.0,0.5,0,1,13,attempt_quiz (future),9.244167829600851
2,1.0,0.5,0,1,14,post_forum (future),2.778444914906555
2,1.0,0.5,0,1,8,attempt_quiz (current),2.72405048961195
2,1.0,0.5,0,1,4,post_forum (past),1.2363480153711859
2,1.0,0.5,0,1,6,view_content (current),1.2448987101242428
2,1.0,0.5,0,1,1,view_content (past),6.165949780184957
2,1.0,0.5,0,1,11,post_forum (current),1.6023976382070857
2,1.0,0.5,0,1,2,attempt_quiz (past),12.977890232033584
2,1.0,0.5,0,1,0,view_assignment (past),1.4328995720431905
2,0.75,0.5,1,1,4,post_forum (past),4.8682595011328305
2,0.75,0.5,1,1,1,view_content (past),0.22007437500000002
2,0.75,0.5,1,1,2,attempt_quiz (past),54.299265049292316
2,0.75,0.5,1,1,10,review_quiz (current),5.657328601873377
2,0.75,0.5,1,1,6,view_content (current),5.2457823654908715
2,0.75,0.5,1,1,11,post_forum (current),10.957989733310432
2,0.75,0.5,1,1,3,review_quiz (past),0.640751996100462
2,0.75,0.5,1,1,7,submit_assignment (current),10.492850974568604
2,0.75,0.5,1,1,12,view_content (future),0.41384722204631424
2,0.75,0.5,1,1,9,submit_quiz (current),1.0791741250920666
2,0.75,0.5,1,1,14,post_forum (future),6.247237800981589
2,0.75,0.5,1,1,13,attempt_quiz (future),12.002398574453904
2,0.75,0.5,1,1,5,view_assignment (current),5.145596382219166
2,0.75,0.5,1,1,0,view_assignment (past),8.567396311493743
2,0.75,0.5,1,1,8,attempt_quiz (current),10.820715467348181
2,0.75,0.5,1,2,3,review_quiz (past),18.107701898224295
2,0.75,0.5,1,2,1,view_content (past),24.410662990198304
2,0.75,0.5,1,2,13,attempt_quiz (future),17.409484387295976
2,0.75,0.5,1,2,6,view_content (current),7.579765108363732
2,0.75,0.5,1,2,7,submit_assignment (current),67.4054178386071
2,0.75,0.5,1,2,14,post_forum (future),10.648313736480224
2,0.75,0.5,1,2,2,attempt_quiz (past),22.687188161304363
2,0.75,0.5,1,2,8,attempt_quiz (current),15.206653083105277
2,0.75,0.5,1,2,12,view_content (future),19.19869993452634
2,0.75,0.5,1,2,4,post_forum (past),13.610156427919197
2,0.75,0.5,1,2,5,view_assignment (current),7.0110814630172404
2,0.75,0.5,1,2,9,submit_quiz (current),16.600340568878444
2,0.75,0.5,1,2,0,view_assignment (past),17.265925106886893
2,0.75,0.5,1,2,11,post_forum (current),13.4438168508409
2,0.75,0.5,1,2,10,review_quiz (current),6.908136835796288
2,1.0,0.5,1,2,10,review_quiz (current),12.703117082234797
2,1.0,0.5,1,2,8,attempt_quiz (current),17.879641746513403
2,1.0,0.5,1,2,3,review_quiz (past),5.975952584227028
2,1.0,0.5,1,2,9,submit_quiz (current),79.27409590174005
2,1.0,0.5,1,2,6,view_content (current),24.331732128740377
2,1.0,0.5,1,2,13,attempt_quiz (future),8.940165474529406
2,1.0,0.5,1,2,12,view_content (future),13.218372947392401
2,1.0,0.5,1,2,14,post_forum (future),23.34910645632824
2,1.0,0.5,1,2,2,attempt_quiz (past),17.9587337434883
2,1.0,0.5,1,2,11,post_forum (current),13.114367545079466
2,1.0,0.5,1,2,0,view_assignment (past),8.997106741941998
2,1.0,0.5,1,2,1,view_content (past),1.762616560305467
2,1.0,0.5,1,2,5,view_assignment (current),15.363314950982186
2,1.0,0.5,1,2,4,post_forum (past),7.584083576372452
2,1.0,0.5,1,2,7,submit_assignment (current),20.43321858826151
2,0.75,1.0,2,2,14,post_forum (future),10.01733495550069
2,0.75,1.0,2,2,8,attempt_quiz (current),22.635100059635942
2,0.75,1.0,2,2,9,submit_quiz (current),13.816222052426596
2,0.75,1.0,2,2,1,view_content (past),6.132318252174177
2,0.75,1.0,2,2,0,view_assignment (past),15.222134658599163
2,0.75,1.0,2,2,7,submit_assignment (current),24.639530106109063
2,0.75,1.0,2,2,4,post_forum (past),5.447431841696607
2,0.75,1.0,2,2,2,attempt_quiz (past),69.80001378474142
2,0.75,1.0,2,2,11,post_forum (current),18.83539278288632
2,0.75,1.0,2,2,3,review_quiz (past),14.576525057619868
2,0.75,1.0,2,2,12,view_content (future),16.70550397936145
2,0.75,1.0,2,2,13,attempt_quiz (future),12.77300706460678
2,0.75,1.0,2,2,10,review_quiz (current),5.133346798534144
2,0.75,1.0,2,2,5,view_assignment (current),7.335054998137257
2,0.75,1.0,2,2,6,view_content (current),7.794302147927876
2,1.0,0.5,0,2,11,post_forum (current),1.511348015371186
2,1.0,0.5,0,2,12,view_content (future),0.6655368773927794
2,1.0,0.5,0,2,6,view_content (current),0.3758364055070773
2,1.0,0.5,0,2,7,submit_assignment (current),0.9799946942788303
2,1.0,0.5,0,2,5,view_assignment (current),1.4451375617320261
2,1.0,0.5,0,2,1,view_content (past),0.6518580394666289
2,1.0,0.5,0,2,2,attempt_quiz (past),25.53563701676849
2,1.0,0.5,0,2,10,review_quiz (current),0.9610816041498943
2,1.0,0.5,0,2,4,post_forum (past),1.286348015371186
2,1.0,0.5,0,2,3,review_quiz (past),1.1838103570183791
2,1.0,0.5,0,2,14,post_forum (future),2.516187741528471
2,1.0,0.5,0,2,8,attempt_quiz (current),8.347316783092793
4,0.5,0.5,0,1,12,view_content (future),0.7039157053301807
4,0.5,0.5,0,1,1,view_content (past),0.0408775
4,0.5,0.5,0,1,13,attempt_quiz (future),36.80914554965187
4,0.5,0.5,0,1,4,post_forum (past),2.1986075160999405
4,0.5,0.5,0,1,3,review_quiz (past),2.2758350519439934
4,0.5,0.5,0,1,5,view_assignment (current),0.8836710635786726
4,0.5,0.5,0,1,10,review_quiz (current),2.0032010317477105
4,0.5,0.5,0,1,6,view_content (current),3.3965009000419286
4,0.5,0.5,0,1,11,post_forum (current),0.36988524453366034
4,0.5,0.5,0,1,2,attempt_quiz (past),0.9401498905829777
4,0.5,0.5,0,1,0,view_assignment (past),2.3075096615102444
4,0.5,0.5,0,1,14,post_forum (future),3.561543481847379
