userid,courseid,sectionid,type,avg_quiz_score,completion_rate,quiz_passed,cluster,time
2,5,42,quiz,10,0.5,0,0,1755136476
2,5,42,quiz,10,0.5,0,0,1755136538
2,5,43,quiz,10,1.0,0,0,1755136617
2,5,43,quiz,10,1.0,0,0,1755136674
2,5,43,quiz,10,1.0,0,0,1755136707
2,5,43,quiz,10,1.0,0,0,1755136712
2,5,42,quiz,10,0.5,0,0,1755136728
2,5,41,quiz,10,0.5,0,0,1755136742
2,5,41,quiz,10,0.5,0,0,1755136754
2,5,40,quiz,10,1.0,1,0,1755136799
2,5,40,quiz,10,1.0,1,0,1755136808
2,5,39,quiz,10,1.0,1,0,1755136820
2,5,38,quiz,10,1.0,1,0,1755136832
2,5,38,quiz,10,1.0,1,0,1755136852
2,5,33,quiz,10,0,1,0,1755136929
2,5,33,quiz,10,0,1,0,1755136934
4,5,41,quiz,10,0.5,1,0,1755140972
4,5,41,quiz,10,0.5,1,0,1755140995
