Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
4,0.5,0.75,1,2,4,post_forum (past),0.529493371099053
4,0.5,0.75,1,2,10,review_quiz (current),1.2178731778864151
4,0.5,0.75,1,2,5,view_assignment (current),1.8760546138109704
4,0.5,0.75,1,2,6,view_content (current),2.83765659132271
4,0.5,0.75,1,2,13,attempt_quiz (future),2.124176135623201
4,0.5,0.75,1,2,12,view_content (future),0.9761040588135896
4,0.5,0.75,1,2,3,review_quiz (past),2.0707023414977535
4,0.5,0.75,1,2,2,attempt_quiz (past),4.9080562235394956
4,0.5,0.75,1,2,14,post_forum (future),0.9192529775084536
4,0.5,0.75,1,2,8,attempt_quiz (current),0.26003410061705073
4,0.5,0.75,1,2,9,submit_quiz (current),4.213004767744216
4,0.5,0.75,1,2,1,view_content (past),0.22873213203298456
4,1.0,1.0,2,2,1,view_content (past),2.176405497841167
4,1.0,1.0,2,2,8,attempt_quiz (current),0.49911548197314864
4,1.0,1.0,2,2,12,view_content (future),1.0370424731150085
4,1.0,1.0,2,2,5,view_assignment (current),1.7543006096465197
4,1.0,1.0,2,2,10,review_quiz (current),1.2855726104463052
4,1.0,1.0,2,2,7,submit_assignment (current),7.966595139750575
4,1.0,1.0,2,2,14,post_forum (future),1.2333809129369477
4,1.0,1.0,2,2,6,view_content (current),0.22194880000000003
4,1.0,1.0,2,2,4,post_forum (past),0.4496985346749034
4,1.0,1.0,2,2,11,post_forum (current),1.4597586474769835
4,1.0,1.0,2,2,2,attempt_quiz (past),1.0678824553191677
4,1.0,1.0,2,2,13,attempt_quiz (future),1.2543001777312843
4,1.0,1.0,2,2,9,submit_quiz (current),1.165241971473745
2,0.25,1.0,1,2,6,view_content (current),1.8822063662355841
2,0.25,1.0,1,2,7,submit_assignment (current),9.64423849760245
2,0.25,1.0,1,2,13,attempt_quiz (future),0.20600000000000002
2,0.25,1.0,1,2,14,post_forum (future),0.761320142591497
