userid,total_events,first_event,last_event,event_diversity,num_courses,active_days,avg_grade,grade_std,num_assessments,cluster,archetype
8769,-0.3595818365420709,1664215004,1674218937,0.0420755760831817,0.2928779730548767,-0.0379139655881428,-0.9529606762345968,0.9129647484631042,0.3710009550372112,1,Struggling but Trying
8770,-0.2182824203274073,1663165087,1674456623,-0.2331929275651394,1.2962562140762124,0.5391130243959346,-0.9872474533164576,0.7722431859672721,0.971746483981492,1,Struggling but Trying
8771,-0.504632564691637,1664811175,1674208051,-0.7837299348617819,-0.0415814406189019,-0.3071932275807122,-1.095822247409016,0.8518735392829879,0.2708767002131644,1,Struggling but Trying
8772,-0.0407203220753522,1662664942,1674323557,0.3173440797315029,-0.3760408542926805,0.6929868883916885,0.482299759750265,0.5350746759095413,0.3710009550372112,1,Struggling but Trying
8773,-0.4933786288869292,1662455005,1673791157,-0.9672422706273294,-0.3760408542926805,0.577581490394873,0.5511632655172154,-0.2042388323794095,-0.4299930835551631,0,Efficient Learner
8774,-0.9998057400987764,1662013333,1669137026,-0.8754861027445556,-1.3794190953140162,-1.307373343553113,-0.6539480854044174,-1.1435123177249724,-1.331111376971584,0,Efficient Learner
8779,-0.8897672566749676,1663245968,1669188875,-0.0496805917995919,-0.710500267966459,-1.845931867538252,-1.2220720079817586,0.691423647642848,-0.5301173383792098,0,Efficient Learner
8780,-1.0123101132151182,1668111509,1669654224,-0.9672422706273294,-2.0483379226615734,-2.2690849935265756,1.4922978443322046,-1.675420057319338,-1.2309871221475377,0,Efficient Learner
8782,-1.1135955354574878,1664983958,1664983994,-2.2518286209861618,-0.710500267966459,-2.2690849935265756,-2.5476944939955546,-2.042382115686888,-1.2309871221475377,0,Efficient Learner
8793,-1.0198127370849237,1662489528,1674248223,-1.6095354458067457,-1.3794190953140162,0.7699238203895655,1.6185476049049474,0.2852146526324681,-1.431235631795631,0,Efficient Learner
8794,-1.1185972847040244,1662048113,1662048119,-2.2518286209861618,-2.7172567500091307,-2.2690849935265756,-2.5476944939955546,-2.042382115686888,-1.2309871221475377,0,Efficient Learner
8798,-1.011059675903484,1662380267,1673183169,-0.9672422706273294,0.2928779730548767,0.3467706944012421,1.2939053634321809,-1.3629004167057162,-0.8304901028513502,0,Efficient Learner
8800,-0.9647934953730192,1673673434,1673888068,-0.6002175990962344,-1.3794190953140162,-2.2690849935265756,0.5243830132745123,0.0999766171718238,-0.6302415932032567,0,Efficient Learner
8806,-0.9397847491403352,1662067469,1671554245,-0.7837299348617819,-1.0449596816402376,-0.2687247615817738,-0.6539480854044174,1.438925642228437,-0.930614357675397,0,Efficient Learner
8808,-0.3920932066445598,1663324566,1674589440,0.6843687512625979,0.2928779730548767,0.5391130243959346,0.9083927016832708,-0.8933998594949393,-0.7303658480273034,1,Struggling but Trying
8809,1.0459097017347592,1662392813,1674081444,0.0420755760831817,0.2928779730548767,0.731455354390627,-0.0192871268495498,0.5912963965889653,2.1732375418700536,1,Struggling but Trying
8812,-0.3058130321418006,1662572000,1674209374,-0.3249490954479132,-0.0415814406189019,0.6929868883916885,-0.9695724868362736,1.096099559768315,0.2708767002131644,1,Struggling but Trying
