id,timemodified,userid,courseid,finalgrade,itemtype
318582,1674569681,7267,42,-1,course
318577,1669293197,7267,42,-1,mod
318576,1669293197,7267,42,-1,mod
318575,1669293197,7267,42,-1,mod
318572,1669293197,7267,42,-1,mod
318567,1669293197,7267,42,-1,mod
318566,1669293197,7267,42,-1,mod
318565,1669293197,7267,42,-1,mod
318564,1669293197,7267,42,-1,mod
318563,1669293197,7267,42,-1,mod
318562,1669293197,7267,42,-1,mod
318561,1669293197,7267,42,-1,mod
318559,1669293197,7267,42,-1,mod
318557,1669293197,7267,42,-1,mod
318555,1669293197,7267,42,-1,mod
318554,1669293197,7267,42,-1,mod
318553,1673946751,9043,42,10,mod
318552,1673343748,9043,42,10,mod
318551,1669293415,9043,42,-1,mod
318550,1666879093,9043,42,5,mod
318548,1672136602,9043,42,10,mod
318547,1666689091,9043,42,2,mod
318544,1665059663,9043,42,7,mod
318539,1671784242,9043,42,10,mod
318538,1671779699,9043,42,10,mod
318537,1669293415,9043,42,-1,mod
318536,1669293415,9043,42,-1,mod
318535,1669293415,9043,42,-1,mod
318534,1669293415,9043,42,-1,mod
318532,1669293415,9043,42,-1,mod
318528,1669293415,9043,42,-1,mod
318527,1669293415,9043,42,-1,mod
318524,1669293415,9043,42,-1,mod
318523,1669293415,9043,42,-1,mod
318522,1669293415,9043,42,-1,mod
318521,1669293415,9043,42,-1,mod
318520,1669293415,9043,42,-1,mod
318516,1669293415,9043,42,-1,mod
318511,1669293415,9043,42,-1,mod
318510,1669293415,9043,42,-1,mod
318509,1669293415,9043,42,-1,mod
318508,1669293415,9043,42,-1,mod
318507,1669293415,9043,42,-1,mod
318506,1669293415,9043,42,-1,mod
318504,1669293415,9043,42,-1,mod
318501,1669293415,9043,42,-1,mod
318500,1669293415,9043,42,-1,mod
318499,1669293415,9043,42,-1,mod
318498,1669293415,9043,42,-1,mod
318497,1669293415,9043,42,-1,mod
318496,1669293415,9043,42,-1,mod
318495,1669293415,9043,42,-1,mod
318494,1669293415,9043,42,-1,mod
318486,1669293415,9043,42,-1,category
318485,1669293415,9043,42,-1,category
318484,1669293415,9043,42,-1,category
318483,1669293415,9043,42,-1,category
318482,1673965903,9043,42,7,course
318481,1671700343,9043,42,10,mod
318480,1673353259,9146,42,9,mod
318479,1671702233,9146,42,10,mod
318478,1669293416,9146,42,-1,mod
318477,1673963280,9146,42,8,mod
318475,1671701730,9146,42,10,mod
318474,1666691192,9146,42,2,mod
318467,1665474247,9146,42,10,mod
318466,1671698686,9146,42,10,mod
318465,1671698296,9146,42,10,mod
318464,1669293416,9146,42,-1,mod
318463,1669293416,9146,42,-1,mod
318462,1669293416,9146,42,-1,mod
318461,1669293416,9146,42,-1,mod
318459,1669293416,9146,42,-1,mod
318455,1669293416,9146,42,-1,mod
318454,1669293416,9146,42,-1,mod
318451,1669293416,9146,42,-1,mod
318450,1669293416,9146,42,-1,mod
318449,1669293416,9146,42,-1,mod
318448,1669293416,9146,42,-1,mod
318447,1669293416,9146,42,-1,mod
318445,1669293416,9146,42,-1,mod
318443,1669293416,9146,42,-1,mod
318438,1669293416,9146,42,-1,mod
318437,1669293416,9146,42,-1,mod
318436,1669293416,9146,42,-1,mod
318435,1669293416,9146,42,-1,mod
318434,1669293416,9146,42,-1,mod
318433,1669293416,9146,42,-1,mod
318431,1669293416,9146,42,-1,mod
318428,1669293416,9146,42,-1,mod
318427,1669293416,9146,42,-1,mod
318426,1669293416,9146,42,-1,mod
318425,1669293416,9146,42,-1,mod
318424,1669293416,9146,42,-1,mod
318423,1669293416,9146,42,-1,mod
318422,1669293416,9146,42,-1,mod
318421,1669293416,9146,42,-1,mod
318413,1669293416,9146,42,-1,category
318412,1669293416,9146,42,-1,category
318411,1669293416,9146,42,-1,category
318410,1669293416,9146,42,-1,category
318409,1673973190,9146,42,8,course
318408,1671697717,9146,42,10,mod
318406,1673949073,9183,42,10,mod
318405,1673948894,9183,42,10,mod
318403,1674133601,9183,42,10,mod
318401,1673948567,9183,42,10,mod
318400,1674133514,9183,42,10,mod
318397,1674133153,9183,42,7,mod
318396,1673948477,9183,42,10,mod
318395,1673948414,9183,42,10,mod
318394,1673948431,9183,42,10,mod
318339,1674569681,9183,42,8,course
318334,1671787513,8670,42,10,mod
318333,1673346695,8670,42,10,mod
318332,1669293412,8670,42,-1,mod
318331,1667301039,8670,42,4,mod
318329,1671787867,8670,42,10,mod
318328,1666691542,8670,42,6,mod
318325,1665059687,8670,42,6,mod
318324,1673346603,8670,42,9,mod
318323,1672135365,8670,42,10,mod
318318,1669293412,8670,42,-1,mod
318317,1669293412,8670,42,-1,mod
318316,1669293412,8670,42,-1,mod
318315,1669293412,8670,42,-1,mod
318313,1669293412,8670,42,-1,mod
318310,1669293412,8670,42,-1,mod
318309,1669293412,8670,42,-1,mod
318308,1669293412,8670,42,-1,mod
318307,1669293412,8670,42,-1,mod
318306,1669293412,8670,42,-1,mod
318304,1669293412,8670,42,-1,mod
318302,1669293412,8670,42,-1,mod
