id,timemodified,userid,courseid,finalgrade,itemtype
344418,1674484404,9819,1726,8,course
344417,1674484404,9851,1726,8,course
344416,1674484404,10175,1726,7,course
344415,1674484404,9249,1726,9,course
344414,1674484404,9955,1726,-1,course
344413,1674484404,9413,1726,9,course
344412,1674484404,9780,1726,-1,course
344411,1674483910,7795,2442,7,course
344410,1674483910,7880,2442,9,course
344409,1674483910,7325,2442,8,course
344408,1674483910,7044,2442,9,course
344407,1674483910,7289,2442,8,course
344406,1674483910,7722,2442,10,course
344403,1674484773,8967,2442,9,course
344402,1674483543,8967,2442,9,mod
344401,1674483911,7794,2442,10,course
344400,1674480085,7695,2442,8,course
344399,1674480085,7960,2442,9,course
344398,1674477242,9520,2830,-1,course
344397,1674477242,8911,2830,-1,course
344396,1674477242,8599,2830,9,course
344395,1674477241,9226,2756,7,course
344394,1674477241,9100,2756,7,course
344393,1674477241,9161,2756,8,course
344392,1674477241,9342,2756,7,course
344391,1674477241,7012,2756,8,course
344390,1674477233,8565,1813,9,course
344389,1674477233,8704,1813,9,course
344388,1674477233,8704,1812,8,course
344387,1674477233,8565,1812,9,course
344386,1674477233,9828,1987,-1,course
344385,1674477233,9881,1987,9,course
344384,1674477233,9882,1987,9,course
344383,1674477233,9825,1987,9,course
344382,1674477233,9902,1987,9,course
344381,1674477233,9899,1987,8,course
344380,1674477233,9905,1987,8,course
344379,1674477233,9901,1987,9,course
344378,1674477233,9883,1987,7,course
344377,1674477233,9858,1987,-1,course
344376,1674477233,9868,1987,8,course
344375,1674477233,9894,1987,7,course
344374,1674477233,7608,1987,9,course
344373,1674477233,9770,1987,7,course
344372,1674477232,9887,1987,9,course
344371,1674477232,9682,1987,9,course
344370,1674477232,9872,1987,7,course
344369,1674477232,7949,1163,8,course
344368,1674477231,8606,2934,-1,course
344367,1674477231,8573,2934,7,course
344366,1674477231,8695,2934,8,course
344365,1674553091,9800,2369,9,course
344364,1674553091,9910,2369,9,course
344363,1674553091,9767,2369,8,course
344362,1674474909,9873,1987,8,course
344361,1674474371,9885,1987,9,course
344360,1674474272,7160,879,8,course
344359,1674474272,7782,879,8,course
344358,1674474272,7894,879,8,course
344357,1674474272,7759,879,8,course
344356,1674474272,8089,879,8,course
344355,1674474272,7004,879,8,course
344354,1674474272,7926,879,8,course
344353,1674473912,6996,995,8,course
344352,1674473328,9217,2414,9,course
344351,1674473328,8683,2414,8,course
344350,1674473328,9081,2414,9,course
344349,1674473328,9238,2414,9,course
344348,1674473328,9501,2414,8,course
344347,1674473328,9499,2414,9,course
344346,1674473328,9417,2414,9,course
344345,1674473328,8766,2414,8,course
344344,1674473328,9216,2414,8,course
344343,1674473328,9199,2414,9,course
344342,1674473328,9246,2414,9,course
344341,1674473328,9186,2414,10,course
344340,1674473328,9198,2414,8,course
344339,1674473328,8685,2414,9,course
344338,1674473327,9182,2414,10,course
344337,1674473327,9058,2414,8,course
344336,1674472996,8710,1871,-1,course
344335,1674472996,8590,1871,9,course
344334,1674472996,8547,1871,-1,course
344329,1674472651,7160,2334,10,course
344328,1674472651,7782,2334,9,course
344327,1674472651,7894,2334,9,course
344326,1674472651,7759,2334,10,course
344325,1674472651,8089,2334,9,course
344324,1674472651,7004,2334,9,course
344323,1674472651,7926,2334,10,course
344322,1674471817,9977,1935,9,mod
344321,1674471935,9977,1935,8,mod
344320,1674471935,9977,1935,6,mod
344318,1674552239,9977,1935,8,course
344317,1674471817,9977,1935,8,mod
344316,1674469826,7135,1519,8,course
344315,1674469690,9149,2756,8,course
344314,1674469429,9860,2736,7,course
344313,1674469429,9920,2736,9,course
344312,1674469429,7314,2736,9,course
344311,1674469429,9959,2736,8,course
344304,1674501187,10103,2036,10,mod
344255,1674468003,9725,2281,-1,course
344254,1674467055,7960,2819,-1,course
344253,1674467003,8627,3035,8,course
344252,1674467003,10021,3035,9,course
344251,1674467003,8690,3035,9,course
344250,1674467003,8616,3035,9,course
344249,1674467003,8594,3035,9,course
344248,1674467003,8733,3035,8,course
344247,1674466734,8524,1865,10,course
344246,1674466577,10033,1706,-1,course
344245,1674466577,10039,1706,-1,course
344244,1674466577,10081,1706,-1,course
344243,1674466577,10041,1706,-1,course
344242,1674466577,10028,1706,-1,course
344241,1674466577,10074,1706,-1,course
344240,1674466577,10075,1706,-1,course
344239,1674466577,10070,1706,-1,course
344238,1674466576,10036,1706,-1,course
344237,1674466576,9995,1706,10,course
344236,1674466576,10027,1706,-1,course
344235,1674466769,8032,2342,7,course
344234,1674466769,9886,2342,9,course
344233,1674466769,9802,2342,9,course
344232,1674466506,9916,2342,0,course
344231,1674466769,9962,2342,6,course
344230,1674466769,9819,2342,7,course
344229,1674466769,9851,2342,10,course
344228,1674466769,10175,2342,9,course
344227,1674466809,9955,2342,-1,course
344226,1674466809,9780,2342,-1,course
344225,1674466769,9726,2342,10,course
344224,1674501985,9547,2038,10,mod
344223,1674501985,9547,2038,10,course
344221,1674466183,7584,995,8,course
344220,1674466183,7324,995,8,course
344219,1674465402,8733,2331,-1,course
