id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
9766,\core\event\grade_item_updated,core,updated,grade_item,grade_items,56,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 6"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447460,cli,,
9767,\core\event\grade_item_updated,core,updated,grade_item,grade_items,45,u,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 3 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9768,\core\event\grade_item_updated,core,updated,grade_item,grade_items,49,u,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 4 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9769,\core\event\grade_item_updated,core,updated,grade_item,grade_items,53,u,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 5 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9770,\core\event\grade_item_updated,core,updated,grade_item,grade_items,57,u,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 6 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9771,\core\event\grade_item_updated,core,updated,grade_item,grade_items,32,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra cu\u1ed1i k\u1ef3 m\u00f4n Tin h\u1ecdc - 120825 - 10"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9772,\core\event\grade_item_updated,core,updated,grade_item,grade_items,33,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra cu\u1ed1i k\u1ef3 m\u00f4n Tin h\u1ecdc - 120825 - 11"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9773,\core\event\grade_item_updated,core,updated,grade_item,grade_items,34,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra cu\u1ed1i k\u1ef3 m\u00f4n Tin h\u1ecdc - 120825 - 20"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9774,\core\event\grade_item_updated,core,updated,grade_item,grade_items,35,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra cu\u1ed1i k\u1ef3 m\u00f4n Tin h\u1ecdc - 120825 - 200"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9775,\core\event\grade_item_updated,core,updated,grade_item,grade_items,38,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9776,\core\event\grade_item_updated,core,updated,grade_item,grade_items,39,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9777,\core\event\grade_item_updated,core,updated,grade_item,grade_items,42,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 2 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9778,\core\event\grade_item_updated,core,updated,grade_item,grade_items,43,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 2 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9779,\core\event\grade_item_updated,core,updated,grade_item,grade_items,46,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 3 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9780,\core\event\grade_item_updated,core,updated,grade_item,grade_items,47,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 3 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9781,\core\event\grade_item_updated,core,updated,grade_item,grade_items,50,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 4 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9782,\core\event\grade_item_updated,core,updated,grade_item,grade_items,51,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 4 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9783,\core\event\grade_item_updated,core,updated,grade_item,grade_items,54,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 5 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9784,\core\event\grade_item_updated,core,updated,grade_item,grade_items,55,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 5 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9785,\core\event\grade_item_updated,core,updated,grade_item,grade_items,58,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 6 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9786,\core\event\grade_item_updated,core,updated,grade_item,grade_items,59,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 6 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447460,cli,,
9787,\core\event\grade_item_updated,core,updated,grade_item,grade_items,31,u,0,14,50,2,2,2,,0,"{""itemname"":null,""itemtype"":""course"",""itemmodule"":null}",1761447460,cli,,
9669,\core\event\grade_item_created,core,created,grade_item,grade_items,53,c,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 5 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9670,\core\event\grade_item_updated,core,updated,grade_item,grade_items,53,u,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 5 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9671,\core\event\tag_added,core,added,tag,tag_instance,368,c,0,313,70,81,2,2,,0,"{""tagid"":""2"",""tagname"":""medium"",""tagrawname"":""medium"",""itemid"":81,""itemtype"":""course_modules""}",1761447459,restore,,
9672,\core\event\grade_item_created,core,created,grade_item,grade_items,54,c,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 5 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9673,\core\event\grade_item_updated,core,updated,grade_item,grade_items,54,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 5 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9674,\core\event\tag_added,core,added,tag,tag_instance,369,c,0,314,70,82,2,2,,0,"{""tagid"":""3"",""tagname"":""hard"",""tagrawname"":""hard"",""itemid"":82,""itemtype"":""course_modules""}",1761447459,restore,,
9675,\core\event\grade_item_created,core,created,grade_item,grade_items,55,c,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 5 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
