Cluster,Lesson,Progress,Score,Phase,Engagement,Best_Action_ID,Best_Action_Name,Best_Q_Value,Num_Actions_Available
0,0,0.25,0.25,1,0,9,submit_quiz (current),24.41909211612329,5
2,0,0.5,0.5,1,0,3,review_quiz (past),1.920384508964268,1
0,0,0.75,0.75,0,0,4,post_forum (past),25.19398950973727,5
4,5,0.25,1.0,0,2,6,view_content (current),0.9201357977270296,8
0,1,0.75,0.5,2,1,14,post_forum (future),7.509715282364488,1
0,0,1.0,0.5,1,1,12,view_content (future),25.726941994749488,3
2,4,0.25,0.75,0,2,9,submit_quiz (current),1.8520414087943686,9
4,0,0.75,0.75,2,2,9,submit_quiz (current),10.870132122749819,6
0,0,0.25,0.5,0,2,1,view_content (past),32.35081646909914,2
4,1,1.0,1.0,2,1,2,attempt_quiz (past),3.1233985731391214,3
4,0,1.0,0.5,2,2,2,attempt_quiz (past),14.890940286895423,7
0,0,0.5,0.25,0,2,9,submit_quiz (current),61.77833658298222,4
2,4,0.25,0.75,1,2,9,submit_quiz (current),9.326396115686254,15
2,0,0.5,0.75,0,2,6,view_content (current),4.722951264157507,2
4,1,0.75,1.0,2,1,2,attempt_quiz (past),5.495723871869745,2
2,1,0.75,0.75,2,1,4,post_forum (past),4.111276208759152,2
0,2,0.5,0.25,0,2,13,attempt_quiz (future),13.380519823170198,4
4,0,0.25,0.5,1,0,14,post_forum (future),-0.04,1
4,0,0.5,0.5,1,1,11,post_forum (current),0.19910987688883774,4
4,0,0.75,0.5,1,1,13,attempt_quiz (future),3.908071078094878,2
0,0,0.75,1.0,0,0,4,post_forum (past),9.983895074810501,2
0,0,1.0,0.25,2,1,4,post_forum (past),2.593483944361924,1
4,3,0.25,1.0,1,1,14,post_forum (future),3.6634438204441353,1
0,0,0.5,0.25,1,2,2,attempt_quiz (past),46.17151330193532,8
4,4,0.75,0.75,0,2,2,attempt_quiz (past),0.9273692155287302,4
0,2,0.75,1.0,1,2,13,attempt_quiz (future),11.413719028684671,3
0,2,1.0,1.0,1,2,12,view_content (future),0.1606875,3
0,2,1.0,1.0,2,2,1,view_content (past),0.1541081262100138,2
0,1,1.0,0.75,1,1,12,view_content (future),1.4047746350453558,1
4,1,0.75,0.5,0,2,14,post_forum (future),0.2598680065103034,1
4,1,1.0,0.5,2,2,13,attempt_quiz (future),0.793060865708508,1
0,3,0.25,0.75,0,2,7,submit_assignment (current),2.5175649266361426,5
0,1,0.75,0.25,1,2,1,view_content (past),0.5674804010989503,2
0,2,0.25,0.25,0,2,8,attempt_quiz (current),38.7452303830067,2
2,4,0.5,1.0,1,2,7,submit_assignment (current),2.072,5
4,0,0.75,0.5,2,2,6,view_content (current),0.250437879756434,1
4,4,0.75,0.75,1,2,13,attempt_quiz (future),3.7494426165388752,9
4,3,0.25,0.75,1,1,4,post_forum (past),1.1799000391848136,1
0,1,0.75,1.0,0,2,10,review_quiz (current),0.08621675440203984,1
0,1,0.75,1.0,2,2,9,submit_quiz (current),12.55070773156453,3
0,2,0.25,1.0,1,2,13,attempt_quiz (future),17.165142027472825,1
2,0,0.5,0.75,1,2,2,attempt_quiz (past),15.04777950668776,4
4,0,0.75,0.5,1,2,5,view_assignment (current),1.0743854166991884,1
0,3,0.25,0.5,1,2,7,submit_assignment (current),3.0735368738901863,3
2,3,0.75,0.5,1,2,5,view_assignment (current),0.34170395626873007,3
0,2,0.5,0.25,1,2,8,attempt_quiz (current),7.685180107880713,3
4,5,0.5,1.0,1,2,13,attempt_quiz (future),1.1251456,3
4,4,1.0,0.75,1,2,13,attempt_quiz (future),1.4954940556681495,2
0,3,0.5,0.75,1,2,0,view_assignment (past),0.075,1
0,3,0.25,1.0,1,2,13,attempt_quiz (future),1.4901018212858852,1
4,5,0.5,1.0,0,2,7,submit_assignment (current),0.5648000000000001,1
2,4,0.75,1.0,1,2,8,attempt_quiz (current),0.2,1
2,4,0.5,0.75,1,2,13,attempt_quiz (future),0.5483700368376908,2
0,2,0.5,1.0,0,2,6,view_content (current),0.21375,1
0,2,0.75,1.0,0,2,11,post_forum (current),0.15,1
0,2,0.75,1.0,2,2,13,attempt_quiz (future),6.495977155122073,1
2,4,0.5,0.75,0,2,14,post_forum (future),-0.05,1
4,0,0.75,0.75,0,2,2,attempt_quiz (past),5.601614116265087,1
2,4,0.5,1.0,0,2,4,post_forum (past),0.573375,1
0,1,1.0,0.25,0,2,8,attempt_quiz (current),12.202606760360297,2
4,0,0.75,1.0,0,2,0,view_assignment (past),5.8218550463322165,1
