state,action,q_value
1_2_True_1.00_2_0.00_0,Go_to_low_level,-0.062094312354629144
1_2_True_1.00_2_0.00_0,Go_to_high_level,1.509422911374292
1_2_True_1.00_1_0.00_2,Go_to_low_level,1.1400000000000001
1_3_True_2.00_1_1.00_1,Go_to_low_level,-0.1
1_2_True_1.00_1_1.00_4,Previous,-0.2634110362287747
1_1_False_2.00_0_0.00_4,Go_to_low_level,-1.4714741206709747
1_2_True_2.00_1_0.00_1,Stay,-1.5308019907714054
1_1_False_2.00_0_0.00_1,Next,4.339510820888761
1_1_False_2.00_0_0.00_1,Go_to_low_level,0.28823148156735046
1_1_False_2.00_0_0.00_1,Stay,-0.3561064999901543
1_2_True_2.00_3_0.00_0,Stay,-0.9318678984838821
1_2_True_2.00_3_0.00_0,Go_to_high_level,0.11543996740040255
1_1_False_2.00_0_0.00_3,Previous,-1.8835917743170434
1_2_True_2.00_3_0.00_3,Next,0.11020872894572208
0_2_True_1.00_2_0.00_0,Previous,1.7447853894362901
0_2_True_1.00_2_0.00_0,Stay,0.5208375791233083
0_2_True_1.00_2_0.00_0,Next,11.716066270193856
0_2_True_1.00_2_0.00_0,Go_to_low_level,0.4695276015380436
0_2_True_1.00_2_0.00_0,Go_to_high_level,0.5680668903898383
0_3_True_1.00_2_0.00_2,Go_to_low_level,0.46472596406789884
0_3_True_1.00_2_0.00_2,Next,0.11507247735237754
0_3_True_1.00_3_0.00_3,Stay,-0.667727897721
0_4_True_1.00_1_1.00_3,Previous,0.8
0_2_True_2.00_3_1.00_2,Go_to_high_level,0.0008100000000000002
1_3_True_1.00_1_0.00_0,Go_to_high_level,3.641212193708539
1_3_True_1.00_1_0.00_0,Go_to_low_level,-0.3961634478142
1_3_True_1.00_2_0.00_0,Next,0.10017710528510615
1_3_True_1.00_2_0.00_0,Go_to_high_level,2.3625642223332832
0_3_True_1.00_3_1.00_1,Stay,1.3639256249896623
0_3_True_1.00_1_1.00_1,Previous,3.457045934800005
0_3_True_1.00_1_1.00_1,Next,0.855204740660692
0_3_True_1.00_1_1.00_1,Go_to_low_level,0.6007727191423012
0_2_True_1.00_2_1.00_1,Next,5.559059254777692
0_2_True_1.00_1_0.00_1,Previous,4.036988823111659
0_2_True_1.00_1_0.00_1,Next,0.08397585797563127
0_2_True_0.00_3_0.00_0,Previous,9.820273371851691
0_2_True_0.00_3_0.00_0,Next,0.0
0_2_True_0.00_3_0.00_0,Stay,-0.3132461360478833
0_2_True_1.00_2_1.00_2,Go_to_low_level,0.9466426090011442
0_2_True_2.00_1_1.00_3,Stay,-0.824046749100326
0_3_True_1.00_1_0.00_2,Next,0.11783907587086938
0_3_True_1.00_1_0.00_2,Go_to_low_level,1.7967030466045317
0_2_True_1.00_1_0.00_3,Previous,2.032513079976612
0_3_True_0.00_2_0.00_0,Stay,5.53019393838197
0_3_True_0.00_2_0.00_0,Previous,1.037339853642618
0_3_True_1.00_1_0.00_0,Next,10.78785162976255
0_3_True_1.00_1_0.00_0,Stay,-0.23135286232303814
0_3_True_1.00_1_0.00_0,Previous,1.2667709628941972
