userid,finalgrade,behavior_analysis
9183,10,Old_Activity_Found (61 days ago)
9183,10,Old_Activity_Found (61 days ago)
9183,10,Old_Activity_Found (61 days ago)
9183,10,Old_Activity_Found (61 days ago)
8670,10,Old_Activity_Found (18 days ago)
8670,10,Old_Activity_Found (18 days ago)
8670,10,Old_Activity_Found (19 days ago)
8670,10,Old_Activity_Found (19 days ago)
8670,10,Old_Activity_Found (18 days ago)
8670,8,Active_Submission (Lag: 171.88h) - \mod_quiz\event\attempt_submitted
9227,10,Old_Activity_Found (64 days ago)
9227,10,Old_Activity_Found (65 days ago)
9227,10,Old_Activity_Found (64 days ago)
9227,10,Old_Activity_Found (65 days ago)
9146,10,Old_Activity_Found (48 days ago)
9146,10,Old_Activity_Found (48 days ago)
9146,8,Active_Submission (Lag: 9.16h) - \mod_assign\event\assessable_submitted
9146,10,Old_Activity_Found (48 days ago)
9146,10,Old_Activity_Found (48 days ago)
9146,10,Old_Activity_Found (48 days ago)
9043,10,Old_Activity_Found (45 days ago)
9043,10,Old_Activity_Found (45 days ago)
9043,10,Old_Activity_Found (45 days ago)
9043,9,Old_Activity_Found (45 days ago)
9043,8,Old_Activity_Found (45 days ago)
9043,10,Old_Activity_Found (45 days ago)
9043,10,Old_Activity_Found (44 days ago)
9043,3,Old_Activity_Found (44 days ago)
9043,10,Old_Activity_Found (44 days ago)
9043,10,Old_Activity_Found (45 days ago)
9043,8,Old_Activity_Found (45 days ago)
9043,6,Old_Activity_Found (45 days ago)
9260,10,Old_Activity_Found (60 days ago)
9260,10,Old_Activity_Found (60 days ago)
9260,10,Old_Activity_Found (60 days ago)
9260,7,Old_Activity_Found (60 days ago)
9260,10,Old_Activity_Found (59 days ago)
9260,10,Old_Activity_Found (59 days ago)
9260,3,Old_Activity_Found (59 days ago)
9260,6,Old_Activity_Found (59 days ago)
9260,10,Old_Activity_Found (59 days ago)
9260,10,Old_Activity_Found (59 days ago)
9260,7,Old_Activity_Found (60 days ago)
9151,10,Active_Submission (Lag: 278.54h) - \mod_assign\event\assessable_submitted
9151,10,Active_Submission (Lag: 278.4h) - \mod_assign\event\assessable_submitted
9151,10,Active_Submission (Lag: 257.85h) - \mod_assign\event\assessable_submitted
9151,10,Active_Submission (Lag: 257.29h) - \mod_assign\event\assessable_submitted
9151,2,Active_Submission (Lag: 144.89h) - \mod_quiz\event\attempt_submitted
9151,9,Active_Submission (Lag: 256.03h) - \mod_assign\event\assessable_submitted
9151,10,Active_Submission (Lag: 258.94h) - \mod_assign\event\assessable_submitted
9151,6,Active_Submission (Lag: 258.51h) - \mod_assign\event\assessable_submitted
9151,10,Active_Submission (Lag: 278.68h) - \mod_assign\event\assessable_submitted
9152,10,Old_Activity_Found (35 days ago)
9169,10,Old_Activity_Found (35 days ago)
9169,9,Old_Activity_Found (35 days ago)
8860,10,Old_Activity_Found (16 days ago)
9220,10,Old_Activity_Found (20 days ago)
8671,-1,No_Activity
